City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,19.32,79,93,2.68,PT,1720917450
1,cannonvale,-20.2833,148.7,19.21,51,0,5.11,AU,1720917451
2,vorkuta,67.5,64.0,11.59,72,11,3.41,RU,1720917409
3,mount isa,-20.7333,139.5,16.87,39,0,4.63,AU,1720917453
4,port elizabeth,-33.918,25.5701,14.16,92,0,7.2,ZA,1720917454
5,college,64.8569,-147.8028,22.18,39,75,4.12,US,1720917319
6,uturoa,-16.7333,-151.4333,26.47,81,96,6.52,PF,1720917457
7,wailua homesteads,22.0669,-159.378,28.44,66,100,8.75,US,1720917458
8,port-aux-francais,-49.35,70.2167,1.75,65,96,12.61,TF,1720917459
9,waitangi,-43.9535,-176.5597,10.46,88,100,1.79,NZ,1720917460
10,neiafu,-18.65,-173.9833,25.38,78,75,5.14,TO,1720917462
11,charters towers,-20.1,146.2667,19.21,35,0,3.73,AU,1720917463
12,hovd,48.0056,91.6419,22.21,35,1,0.97,MN,1720917464
13,cill airne,52.05,-9.5167,10.59,96,15,0.71,IE,1720917465
14,yellowknife,62.456,-114.3525,20.79,47,40,3.6,CA,1720917466
15,nemuro,43.3236,145.575,13.99,94,76,2.83,JP,1720917468
16,kalmunai,7.4167,81.8167,28.09,68,100,0.48,LK,1720917469
17,kharan,28.5833,65.4167,29.02,20,0,2.02,PK,1720917470
18,peachtree city,33.3968,-84.5958,32.55,54,0,0.0,US,1720917471
19,al kharj,24.155,47.3346,34.32,16,12,2.34,SA,1720917472
20,saudarkrokur,65.7461,-19.6394,12.88,76,100,9.7,IS,1720917474
21,sakata,38.9167,139.855,26.1,73,0,4.12,JP,1720917475
22,les cayes,18.2,-73.75,27.22,77,93,1.59,HT,1720917476
23,bundaberg,-24.85,152.35,16.79,64,87,2.68,AU,1720917477
24,opuwo,-18.0607,13.84,12.35,35,1,1.17,NA,1720917478
25,ibshaway,29.358,30.6814,28.12,47,0,0.84,EG,1720917480
26,minas de marcona,-15.2119,-75.1103,9.96,88,28,5.46,PE,1720917481
27,adamstown,-25.066,-130.1015,18.79,64,100,2.59,PN,1720917482
28,west island,-12.1568,96.8225,26.99,74,52,8.75,CC,1720917483
29,bergerac,44.8333,0.5,12.12,100,0,1.03,FR,1720917484
30,lorengau,-2.0226,147.2712,28.05,78,100,1.34,PG,1720917486
31,edinburgh of the seven seas,-37.0676,-12.3116,10.76,70,38,19.56,SH,1720917487
32,bonthe,7.5264,-12.505,24.3,94,98,5.03,SL,1720917442
33,kristiansund,63.1115,7.732,14.03,93,5,2.06,NO,1720917489
34,anadyr,64.75,177.4833,19.28,48,20,7.0,RU,1720917490
35,cockburn town,21.4612,-71.1419,28.98,84,75,8.23,TC,1720917492
36,longyearbyen,78.2186,15.6401,4.91,93,75,4.12,SJ,1720917493
37,tiksi,71.6872,128.8694,4.18,79,8,4.96,RU,1720917494
38,delice,39.9537,34.0259,21.0,64,12,2.92,TR,1720917495
39,vorgashor,67.5833,63.95,11.5,72,11,3.54,RU,1720917215
40,arraial do cabo,-22.9661,-42.0278,21.76,87,100,1.69,BR,1720917498
41,maceio,-9.6658,-35.7353,23.69,88,40,4.12,BR,1720917500
42,ushuaia,-54.8,-68.3,3.81,87,40,5.66,AR,1720917501
43,kerikeri,-35.2268,173.9474,13.32,80,100,5.72,NZ,1720917504
44,iqaluit,63.7506,-68.5145,9.85,87,75,5.66,CA,1720917505
45,blackmans bay,-43.0167,147.3167,8.18,86,100,1.79,AU,1720917506
46,cardenas,23.0375,-81.2047,29.42,87,100,5.33,CU,1720917507
47,geraldton,-28.7667,114.6,10.23,87,75,5.14,AU,1720917434
48,thompson,55.7435,-97.8558,21.09,49,75,4.12,CA,1720917217
49,grytviken,-54.2811,-36.5092,-2.97,82,25,6.65,GS,1720917511
50,whitehorse,60.7161,-135.0538,15.43,54,75,7.2,CA,1720917512
51,taoudenni,22.6783,-3.9836,37.22,7,0,3.3,ML,1720917363
52,kamaishi,39.2667,141.8833,24.37,66,55,2.53,JP,1720917514
53,invercargill,-46.4,168.35,6.12,83,0,1.34,NZ,1720917516
54,bredasdorp,-34.5322,20.0403,7.3,88,97,3.39,ZA,1720917518
55,port mathurin,-19.6833,63.4167,22.94,65,33,10.61,MU,1720917519
56,tindouf,27.6711,-8.1474,36.25,10,0,5.14,DZ,1720917520
57,sitka,57.0531,-135.33,14.94,88,100,3.09,US,1720917521
58,ouesso,1.6136,16.0517,21.87,93,100,0.97,CG,1720917523
59,ilulissat,69.2167,-51.1,6.01,87,75,3.09,GL,1720917524
60,namibe,-15.1961,12.1522,16.05,75,8,3.85,AO,1720917526
61,utrik,11.2278,169.8474,27.79,84,49,10.0,MH,1720917354
62,colonia,50.9333,6.95,14.42,90,14,1.45,DE,1720917529
63,udachny,66.4167,112.4,23.93,57,100,3.68,RU,1720917531
